date,stock,index,*Beta,ASR,profit
"2017-08-30,三",0.0065 ,-0.0008 ,-0.000772095,0.0073 ,0.0065 
"2017-08-31,四",0.0218 ,0.0019 ,0.00172908,0.0200 ,0.0218 
"2017-09-01,五",0.0009 ,0.0037 ,0.003407918,-0.0025 ,0.0009 
"2017-09-04,一",0.0153 ,0.0014 ,0.001291651,0.0140 ,0.0153 
"2017-09-05,二",-0.0154 ,0.0003 ,0.000291167,-0.0157 ,-0.0154 
"2017-09-06,三",0.0101 ,-0.0059 ,-0.005410729,0.0155 ,0.0101 
"2017-09-07,四",-0.0623 ,-0.0001 ,-7.11465E-05,-0.0623 ,-0.0623 
"2017-09-08,五",-0.0085 ,0.0033 ,0.003059535,-0.0116 ,-0.0085 
"2017-09-11,一",0.0186 ,0.0009 ,0.000837359,0.0178 ,0.0186 
"2017-09-12,二",-0.0007 ,0.0014 ,0.001269885,-0.0020 ,-0.0007 
"2017-09-13,三",-0.0296 ,-0.0038 ,-0.003461523,-0.0262 ,-0.0296 
"2017-09-14,四",-0.0196 ,-0.0053 ,-0.004864962,-0.0147 ,-0.0196 
"2017-09-15,五",0.0177 ,0.0028 ,0.002537393,0.0152 ,0.0177 
"2017-09-18,一",0.0391 ,-0.0018 ,-0.001648608,0.0408 ,0.0391 
"2017-09-19,二",-0.0046 ,0.0027 ,0.002513012,-0.0072 ,-0.0046 
"2017-09-20,三",-0.0511 ,-0.0024 ,-0.002240781,-0.0488 ,-0.0511 
"2017-09-21,四",0.0025 ,-0.0016 ,-0.00144813,0.0039 ,0.0025 
"2017-09-22,五",0.0043 ,-0.0033 ,-0.003016195,0.0074 ,0.0043 
"2017-09-25,一",-0.0199 ,0.0006 ,0.000559471,-0.0204 ,-0.0199 
"2017-09-26,二",0.0145 ,0.0005 ,0.000465484,0.0141 ,0.0145 
"2017-09-27,三",-0.0028 ,-0.0017 ,-0.001549912,-0.0013 ,-0.0028 
"2017-09-28,四",0.0151 ,0.0028 ,0.002564561,0.0126 ,0.0151 
"2017-09-29,五",0.0306 ,0.0076 ,0.006995833,0.0236 ,0.0306 
"2017-10-09,一",0.0175 ,0.0026 ,0.002349843,0.0152 ,0.0175 
"2017-10-10,二",-0.0156 ,0.0016 ,0.001440073,-0.0171 ,-0.0156 
"2017-10-11,三",-0.0119 ,-0.0006 ,-0.000592525,-0.0113 ,-0.0119 
"2017-10-12,四",0.0152 ,0.0013 ,0.001202132,0.0140 ,0.0152 
"2017-10-13,五",-0.0418 ,-0.0036 ,-0.003273033,-0.0385 ,-0.0418 
"2017-10-16,一",-0.0547 ,-0.0019 ,-0.001752752,-0.0529 ,-0.0547 
"2017-10-17,二",-0.0370 ,0.0029 ,0.002662819,-0.0396 ,-0.0370 
"2017-10-18,三",0.0157 ,-0.0034 ,-0.003164384,0.0188 ,0.0157 
"2017-10-19,四",0.0165 ,0.0025 ,0.002317254,0.0141 ,0.0165 
"2017-10-20,五",0.0018 ,0.0006 ,0.000558779,0.0012 ,0.0018 
"2017-10-23,一",-0.0026 ,0.0022 ,0.002056696,-0.0047 ,-0.0026 
"2017-10-24,二",0.0198 ,0.0026 ,0.002351096,0.0175 ,0.0198 
"2017-10-25,三",-0.0086 ,0.0031 ,0.002892753,-0.0115 ,-0.0086 
"2017-10-26,四",-0.0166 ,0.0027 ,0.00249722,-0.0191 ,-0.0166 
"2017-10-27,五",0.0523 ,-0.0077 ,-0.007134488,0.0594 ,0.0523 
"2017-10-30,一",0.0249 ,0.0009 ,0.000814906,0.0240 ,0.0249 
"2017-10-31,二",-0.0090 ,0.0008 ,0.000697486,-0.0097 ,-0.0090 
"2017-11-01,三",0.0693 ,-0.0037 ,-0.003416993,0.0727 ,0.0693 
"2017-11-02,四",0.0035 ,-0.0034 ,-0.003149352,0.0067 ,0.0035 
"2017-11-03,五",0.0065 ,0.0049 ,0.00448759,0.0020 ,0.0065 
"2017-11-06,一",0.0476 ,0.0075 ,0.006903959,0.0407 ,0.0476 
"2017-11-07,二",-0.0170 ,0.0006 ,0.000509897,-0.0175 ,-0.0170 
