date,-,stock,-,index,*beta,ASR,profit,,,
"2016-06-30,四",5.02,0.003984064,2929.61,0.000979653,0.001153669,0.002830394,0.003984064,,,
"2016-07-01,五",5.04,0.017857143,2932.48,0.019137385,0.022536778,-0.004679635,0.017857143,,,
"2016-07-04,一",5.13,0.029239766,2988.6,0.00595262,0.00700999,0.022229776,0.029239766,,,
"2016-07-05,二",5.28,-0.009469697,3006.39,0.003625611,0.004269632,-0.013739329,-0.009469697,,,
"2016-07-06,三",5.23,-0.001912046,3017.29,-0.000145826,-0.000171729,-0.001740316,-0.001912046,,,
"2016-07-07,四",5.22,-0.003831418,3016.85,-0.009533122,-0.0112265,0.007395083,-0.003831418,,,
"2016-07-08,五",5.2,0.003846154,2988.09,0.002285741,0.00269176,0.001154394,0.003846154,,,
"2016-07-11,一",5.22,0.022988506,2994.92,0.018184125,0.021414189,0.001574316,0.022988506,,,
"2016-07-12,二",5.34,-0.003745318,3049.38,0.003708951,0.004367775,-0.008113094,-0.003745318,,,
"2016-07-13,三",5.32,-0.003759398,3060.69,-0.002179247,-0.002566349,-0.001193049,-0.003759398,,,
"2016-07-14,四",5.3,0,3054.02,9.16824E-05,0.000107968,-0.000107968,0,,,
"2016-07-15,五",5.3,-0.009433962,3054.3,-0.003516354,-0.004140967,-0.005292995,-0.009433962,,,
"2016-07-18,一",5.25,-0.001904762,3043.56,-0.002286796,-0.002693002,0.00078824,-0.001904762,,,
"2016-07-19,二",5.24,0,3036.6,-0.002865046,-0.003373967,0.003373967,0,,,
"2016-07-20,三",5.24,0.005725191,3027.9,0.00366921,0.004320975,0.001404216,0.005725191,,,
"2016-07-21,四",5.27,0,3039.01,-0.008617938,-0.010148751,0.010148751,0,,,
"2016-07-22,五",5.27,0.013282732,3012.82,0.000999064,0.001176529,0.012106204,0.013282732,,,
"2016-07-25,一",5.34,0.001872659,3015.83,0.011386583,0.013409194,-0.011536534,0.001872659,,,
"2016-07-26,二",5.35,-0.024299065,3050.17,-0.019071068,-0.022458681,-0.001840384,-0.024299065,,,
"2016-07-27,三",5.22,0.005747126,2992,0.000775401,0.000913136,0.00483399,0.005747126,,,
"2016-07-28,四",5.25,-0.007619048,2994.32,-0.005002805,-0.005891459,-0.001727589,-0.007619048,,,
"2016-07-29,五",5.21,0.009596929,2979.34,-0.008709983,-0.010257146,0.019854075,0.009596929,,,
"2016-08-01,一",5.26,0.009505703,2953.39,0.006057446,0.007133436,0.002372267,0.009505703,,,
"2016-08-02,二",5.31,-0.005649718,2971.28,0.002416467,0.002845706,-0.008495424,-0.005649718,,,
"2016-08-03,三",5.28,0,2978.46,0.001332904,0.001569669,-0.001569669,0,,,
"2016-08-04,四",5.28,0.003787879,2982.43,-0.001921252,-0.002262526,0.006050405,0.003787879,,,
"2016-08-05,五",5.3,0.011320755,2976.7,0.009265294,0.010911097,0.000409658,0.011320755,,,
"2016-08-08,一",5.36,0.003731343,3004.28,0.007123171,0.008388467,-0.004657124,0.003731343,,,
