date,.,.,stock,index,*beta,ASR,profit,,,
"2017-10-12,四",8.72,3386.1,0.009174312,0.001305337,0.00127768,0.007896632,0.009174312,,,
"2017-10-13,五",8.8,3390.52,0.017045455,-0.003554027,-0.003478728,0.020524182,0.017045455,,,
"2017-10-16,一",8.95,3378.47,0,-0.001903228,-0.001862905,0.001862905,0,,,
"2017-10-17,二",8.95,3372.04,-0.007821229,0.002891425,0.002830164,-0.010651393,-0.007821229,,,
"2017-10-18,三",8.88,3381.79,0.032657658,-0.00343605,-0.003363251,0.036020908,0.032657658,,,
"2017-10-19,四",9.17,3370.17,-0.016357688,0.002516194,0.002462883,-0.018820571,-0.016357688,,,
"2017-10-20,五",9.02,3378.65,0.003325942,0.000606751,0.000593896,0.002732046,0.003325942,,,
"2017-10-23,一",9.05,3380.7,-0.008839779,0.002233265,0.002185949,-0.011025728,-0.008839779,,,
"2017-10-24,二",8.97,3388.25,0.021181717,0.00255294,0.002498851,0.018682866,0.021181717,,,
"2017-10-25,三",9.16,3396.9,0.031659389,0.003141099,0.003074549,0.02858484,0.031659389,,,
"2017-10-26,四",9.45,3407.57,-0.002116402,0.00271161,0.002654159,-0.004770561,-0.002116402,,,
"2017-10-27,五",9.43,3416.81,0.030752916,-0.007746992,-0.007582857,0.038335773,0.030752916,,,
"2017-10-30,一",9.72,3390.34,-0.007201646,0.000884867,0.000866119,-0.008067765,-0.007201646,,,
"2017-10-31,二",9.65,3393.34,-0.05388601,0.000757366,0.00074132,-0.05462733,-0.05388601,,,
"2017-11-01,三",9.13,3395.91,0.009857612,-0.003710346,-0.003631735,0.013489347,0.009857612,,,
"2017-11-02,四",9.22,3383.31,0.004338395,-0.003419728,-0.003347274,0.007685669,0.004338395,,,
"2017-11-03,五",9.26,3371.74,0.083153348,0.004872855,0.004769614,0.078383734,0.083153348,,,
"2017-11-06,一",10.03,3388.17,0.014955135,0.007496672,0.00733784,0.007617294,0.014955135,,,
"2017-11-07,二",10.18,3413.57,-0.017681729,0.000553673,0.000541942,-0.018223671,-0.017681729,,,
"2017-11-08,三",10,3415.46,0.032,0.003610055,0.003533569,0.028466431,0.032,,,
"2017-11-09,四",10.32,3427.79,0,0.001423658,0.001393495,-0.001393495,0,,,
"2017-11-10,五",10.32,3432.67,-0.014534884,0.0044193,0.004325669,-0.018860552,-0.014534884,,,
"2017-11-13,一",10.17,3447.84,-0.015732547,-0.005304771,-0.005192378,-0.010540168,-0.015732547,,,
"2017-11-14,二",10.01,3429.55,-0.002997003,-0.0078815,-0.007714515,0.004717512,-0.002997003,,,
"2017-11-15,三",9.98,3402.52,0.001002004,-0.000961052,-0.000940691,0.001942695,0.001002004,,,
"2017-11-16,四",9.99,3399.25,-0.04004004,-0.004806943,-0.004705098,-0.035334942,-0.04004004,,,
"2017-11-17,五",9.59,3382.91,0.02189781,0.002805277,0.002745842,0.019151969,0.02189781,,,
"2017-11-20,一",9.8,3392.4,0.070408163,0.005335456,0.005222413,0.06518575,0.070408163,,,
"2017-11-21,二",10.49,3410.5,-0.020972355,0.005852514,0.005728517,-0.026700872,-0.020972355,,,
"2017-11-22,三",10.27,3430.46,-0.050632911,-0.022894889,-0.022409815,-0.028223097,-0.050632911,,,
"2017-11-23,四",9.75,3351.92,0.001025641,0.000566839,0.00055483,0.000470811,0.001025641,,,
"2017-11-24,五",9.76,3353.82,-0.071721311,-0.00941911,-0.009219547,-0.062501764,-0.071721311,,,
"2017-11-27,一",9.06,3322.23,0.033112583,0.00344046,0.003367567,0.029745016,0.033112583,,,
"2017-11-28,二",9.36,3333.66,-0.007478632,0.001259877,0.001233184,-0.008711816,-0.007478632,,,
