date,..,..,stock,index,*beta,ASR,profit,,,,
"2016-07-13,三",20.79,3060.69,0.004810005,-0.002179247,-0.002187642,0.006997646,0.004810005,,,,
"2016-07-14,四",20.89,3054.02,0.010531355,9.16824E-05,9.20356E-05,0.010439319,0.010531355,,,,
"2016-07-15,五",21.11,3054.3,-0.008053055,-0.003516354,-0.003529899,-0.004523156,-0.008053055,,,,
"2016-07-18,一",20.94,3043.56,-0.004775549,-0.002286796,-0.002295604,-0.002479945,-0.004775549,,,,
"2016-07-19,二",20.84,3036.6,0,-0.002865046,-0.002876083,0.002876083,0,,,,
"2016-07-20,三",20.84,3027.9,0.019193858,0.00366921,0.003683344,0.015510514,0.019193858,,,,
"2016-07-21,四",21.24,3039.01,-0.004708098,-0.008617938,-0.008651134,0.003943037,-0.004708098,,,,
"2016-07-22,五",21.14,3012.82,0.016083254,0.000999064,0.001002912,0.015080342,0.016083254,,,,
"2016-07-25,一",21.48,3015.83,0.005121043,0.011386583,0.011430445,-0.006309402,0.005121043,,,,
"2016-07-26,二",21.59,3050.17,0.005094951,-0.019071068,-0.01914453,0.024239482,0.005094951,,,,
"2016-07-27,三",21.7,2992,-0.004147465,-0.004231283,-0.004247582,0.000100117,-0.004147465,,,,
"2016-07-29,五",21.61,2979.34,-0.037482647,-0.008709983,-0.008743534,-0.028739113,-0.037482647,,,,
"2016-08-01,一",20.8,2953.39,0.01875,0.006057446,0.006080779,0.012669221,0.01875,,,,
"2016-08-02,二",21.19,2971.28,-0.010382256,0.002416467,0.002425775,-0.012808031,-0.010382256,,,,
"2016-08-03,三",20.97,2978.46,0.000476872,0.001332904,0.001338038,-0.000861166,0.000476872,,,,
"2016-08-04,四",20.98,2982.43,0.009056244,-0.001921252,-0.001928653,0.010984897,0.009056244,,,,
"2016-08-05,五",21.17,2976.7,0.025980161,0.009265294,0.009300984,0.016679177,0.025980161,,,,
"2016-08-08,一",21.72,3004.28,-0.004143646,0.007123171,0.007150609,-0.011294256,-0.004143646,,,,
"2016-08-09,二",21.63,3025.68,-0.021266759,-0.002290394,-0.002299217,-0.018967542,-0.021266759,,,,
"2016-08-10,三",21.17,3018.75,-0.013226264,-0.005336646,-0.005357203,-0.007869061,-0.013226264,,,,
"2016-08-11,四",20.89,3002.64,0.011488751,0.015995924,0.01605754,-0.004568789,0.011488751,,,,
"2016-08-12,五",21.13,3050.67,0.028868907,0.024430699,0.024524806,0.004344101,0.028868907,,,,
"2016-08-15,一",21.74,3125.2,-0.00873965,-0.00485089,-0.004869575,-0.003870075,-0.00873965,,,,
"2016-08-16,二",21.55,3110.04,0.016241299,-0.000154339,-0.000154933,0.016396233,0.016241299,,,,
"2016-08-17,三",21.9,3109.56,-0.012328767,-0.00175266,-0.001759411,-0.010569356,-0.012328767,,,,
"2016-08-18,四",21.63,3104.11,0.003698567,0.001285393,0.001290344,0.002408223,0.003698567,,,,
"2016-08-19,五",21.71,3108.1,0.008751727,-0.007493324,-0.007522188,0.016273916,0.008751727,,,,
"2016-08-22,一",21.9,3084.81,-0.015068493,0.001588428,0.001594547,-0.01666304,-0.015068493,,,,
"2016-08-23,二",21.57,3089.71,0.050533148,-0.001239599,-0.001244373,0.051777521,0.050533148,,,,
"2016-08-24,三",22.66,3085.88,0.004413063,-0.005687195,-0.005709102,0.010122164,0.004413063,,,,
"2016-08-25,四",22.76,3068.33,0.015817223,0.000645302,0.000647788,0.015169435,0.015817223,,,,
"2016-08-26,五",23.12,3070.31,0.003460208,-9.1196E-05,-9.15473E-05,0.003551755,0.003460208,,,,
"2016-08-29,一",23.2,3070.03,-0.000862069,0.001514643,0.001520478,-0.002382547,-0.000862069,,,,
"2016-08-30,二",23.18,3074.68,0.006471096,0.003515813,0.003529356,0.00294174,0.006471096,,,,
"2016-08-31,三",23.33,3085.49,0.018002572,-0.007188485,-0.007216176,0.025218747,0.018002572,,,,
"2016-09-01,四",23.75,3063.31,0.002105263,0.001318835,0.001323915,0.000781348,0.002105263,,,,
"2016-09-02,五",23.8,3067.35,-0.010084034,0.001548568,0.001554533,-0.011638567,-0.010084034,,,,
"2016-09-05,一",23.56,3072.1,-0.003820034,0.006057746,0.00608108,-0.009901114,-0.003820034,,,,
"2016-09-06,二",23.47,3090.71,-0.002556455,0.000394731,0.000396252,-0.002952707,-0.002556455,,,,
"2016-09-07,三",23.41,3091.93,0.006407518,0.001300159,0.001305167,0.005102351,0.006407518,,,,
"2016-09-08,四",23.56,3095.95,0.001273345,-0.005520115,-0.005541379,0.006814723,0.001273345,,,,
"2016-09-09,五",23.59,3078.86,-0.004239084,-0.01847437,-0.018545534,0.01430645,-0.004239084,,,,
"2016-09-12,一",23.49,3021.98,-0.011494253,0.000506291,0.000508241,-0.012002494,-0.011494253,,,,
"2016-09-13,二",23.22,3023.51,-0.000861326,-0.006833118,-0.006859439,0.005998113,-0.000861326,,,,
"2016-09-14,三",23.2,3002.85,0.018534483,0.007725994,0.007755754,0.010778728,0.018534483,,,,
"2016-09-19,一",23.63,3026.05,-0.000423191,-0.001007915,-0.001011797,0.000588606,-0.000423191,,,,
"2016-09-20,二",23.62,3023,-0.00296359,0.000949388,0.000953045,-0.003916635,-0.00296359,,,,
"2016-09-21,三",23.55,3025.87,0.008917197,0.005433148,0.005454077,0.003463121,0.008917197,,,,
"2016-09-22,四",23.76,3042.31,0.02020202,-0.002764347,-0.002774995,0.022977015,0.02020202,,,,
"2016-09-23,五",24.24,3033.9,-0.03960396,-0.01762418,-0.017692069,-0.021911892,-0.03960396,,,,
"2016-09-26,一",23.28,2980.43,0.004725086,0.005952161,0.005975089,-0.001250003,0.004725086,,,,
"2016-09-27,二",23.39,2998.17,-0.002137666,-0.003438764,-0.00345201,0.001314345,-0.002137666,,,,
"2016-09-28,三",23.34,2987.86,-0.005141388,0.003554383,0.003568075,-0.008709463,-0.005141388,,,,
"2016-09-29,四",23.22,2998.48,0.011197244,0.002074384,0.002082375,0.009114869,0.011197244,,,,
"2016-09-30,五",23.48,3004.7,0.012350937,0.01445735,0.01451304,-0.002162103,0.012350937,,,,
